"reserved_room_type" "stays_in_week_nights" "stays_in_weekend_nights" "children" "babies"
"148" "A" 4 2 0 0
"149" "H" 4 2 2 0
"150" "D" 5 2 0 0
"151" "C" 5 2 2 0
"152" "F" 5 2 0 0
"153" "A" 5 2 0 0
"154" "E" 5 2 0 0
"155" "H" 5 4 2 0
"156" "D" 6 4 0 0
"157" "D" 6 4 0 0
"158" "D" 7 4 0 0
"159" "A" 10 4 0 0
"160" "D" 10 4 0 0
"161" "G" 4 1 2 0
"162" "A" 3 1 0 0
"163" "G" 3 1 0 0
"164" "D" 3 1 0 0
"165" "G" 3 1 2 0
"166" "D" 3 1 0 1
"167" "G" 3 1 0 0
"168" "A" 0 0 0 0
"169" "E" 0 0 0 0
"170" "A" 0 1 1 0
"171" "A" 1 1 0 0
"172" "D" 1 1 0 0
"173" "D" 2 1 0 0
"174" "E" 3 1 0 0
"175" "A" 3 1 0 0
"176" "A" 3 1 0 0
"177" "E" 4 1 0 0
"178" "F" 4 1 0 0
"179" "A" 5 1 0 0
"180" "E" 5 1 0 0
"181" "G" 5 2 2 0
"182" "A" 5 2 0 0
"183" "A" 5 2 0 0
"184" "A" 5 3 0 0
"185" "D" 7 3 0 0
"186" "A" 7 3 0 0
"187" "D" 7 3 0 0
"188" "F" 7 3 0 0
"189" "D" 7 3 0 0
"190" "A" 8 3 0 0
"191" "D" 10 4 0 0
"192" "A" 10 4 0 0
"193" "D" 5 2 0 0
"194" "A" 2 0 0 0
"195" "A" 3 0 0 0
"196" "F" 3 0 1 0
"197" "A" 0 0 0 0
"198" "A" 0 0 0 0
"199" "A" 1 0 0 0
"200" "C" 1 0 0 0
"201" "A" 1 0 0 0
"202" "H" 4 0 2 0
"203" "D" 4 0 0 0
"204" "D" 4 0 0 0
"205" "A" 4 0 0 0
"206" "A" 5 0 0 0
"207" "E" 5 2 0 0
"208" "D" 5 2 0 0
"209" "A" 5 2 0 0
"210" "D" 10 4 0 0
"211" "E" 3 0 0 0
"212" "A" 4 0 0 0
"213" "A" 4 0 0 0
"214" "A" 4 0 0 0
"215" "D" 4 0 0 0
"216" "A" 4 0 0 0
"217" "A" 4 0 0 0
"218" "A" 1 0 0 0
"219" "A" 1 0 0 0
"220" "A" 1 0 0 0
"221" "A" 2 0 0 0
"222" "A" 4 1 0 0
"223" "E" 4 2 0 0
"224" "D" 5 2 1 0
"225" "E" 5 2 0 0
"226" "D" 5 2 0 0
"227" "E" 5 2 0 0
"228" "A" 6 2 0 0
"229" "E" 7 2 0 0
"230" "E" 7 2 0 0
"231" "C" 1 0 2 0
"232" "A" 2 0 0 0
"233" "H" 2 0 2 0
"234" "D" 3 0 0 0
"235" "C" 3 0 2 0
"236" "G" 3 0 2 0
"237" "A" 3 0 0 1
"238" "A" 3 1 0 0
"239" "A" 3 1 0 0
"240" "A" 3 1 0 0
"241" "A" 3 2 0 0
"242" "A" 3 2 0 0
"243" "A" 5 2 0 0
"244" "A" 5 2 0 0
"245" "E" 5 2 0 0
"246" "E" 5 2 0 0
"247" "A" 5 2 0 0
"248" "A" 6 2 0 0
"249" "A" 1 0 0 0
"250" "A" 2 0 0 0
"251" "A" 2 0 0 0
"252" "A" 2 0 0 0
"253" "A" 2 0 0 0
"254" "A" 2 0 0 0
"255" "G" 2 0 1 0
"256" "D" 2 0 0 0
"257" "A" 2 0 0 0
"258" "C" 2 1 0 0
"259" "A" 2 1 0 0
"260" "E" 2 1 0 0
"261" "F" 2 2 0 0
"262" "F" 2 2 0 0
"263" "E" 3 2 0 0
"264" "A" 3 2 0 0
"265" "C" 3 2 0 2
"266" "G" 3 2 2 0
"267" "A" 5 2 0 0
"268" "D" 5 2 0 0
"269" "D" 5 2 0 0
"270" "E" 5 2 0 0
"271" "E" 5 2 0 0
"272" "F" 5 2 1 0
"273" "C" 5 2 1 1
"274" "C" 6 2 1 0
"275" "A" 7 2 0 0
"276" "D" 7 3 0 0
"277" "F" 7 4 0 1
"278" "C" 9 4 0 0
"279" "D" 5 2 1 0
"280" "F" 5 2 0 0
"281" "A" 3 2 1 0
"282" "A" 3 2 0 0
"283" "A" 4 2 0 1
"284" "E" 4 2 0 0
"285" "D" 4 2 0 0
"286" "A" 4 2 0 0
"287" "E" 5 2 0 0
"288" "A" 5 2 0 0
"289" "E" 2 2 0 0
"290" "E" 2 2 0 0
"291" "E" 2 2 0 0
"292" "A" 1 0 0 0
"293" "A" 1 0 0 0
"294" "G" 1 0 0 0
"295" "A" 1 0 0 0
"296" "A" 1 1 0 0
"297" "A" 1 1 0 0
"298" "C" 1 1 0 0
"299" "E" 1 2 0 0
"300" "A" 1 2 0 0
"301" "D" 5 2 0 0
"302" "A" 5 2 0 0
"303" "D" 6 2 0 0
"304" "G" 6 2 2 0
"305" "E" 6 4 0 0
"306" "A" 5 2 0 0
"307" "E" 5 2 0 0
"308" "G" 0 1 2 0
"309" "A" 0 1 0 0
"310" "A" 4 2 1 0
"311" "A" 4 2 0 0
"312" "A" 5 2 0 0
"313" "D" 5 2 0 0
"314" "A" 5 2 0 0
"315" "D" 5 2 0 1
"316" "C" 5 2 1 0
"317" "A" 5 2 0 0
"318" "A" 5 2 0 1
"319" "E" 5 2 0 0
"320" "D" 5 2 0 0
"321" "A" 5 2 0 0
"322" "D" 5 2 0 0
"323" "E" 5 2 0 0
"324" "E" 5 3 0 0
"325" "A" 5 4 0 0
"326" "A" 5 4 0 0
"327" "D" 7 4 0 0
"328" "A" 7 4 0 0
"329" "D" 10 4 10 0
"330" "A" 5 2 0 0
"331" "A" 0 1 0 0
"332" "G" 0 2 2 0
"333" "A" 0 2 0 0
"334" "F" 0 2 0 0
"335" "A" 0 2 0 0
"336" "A" 0 2 0 0
"337" "D" 1 2 0 0
"338" "A" 1 2 0 0
"339" "A" 1 2 0 0
"340" "A" 2 2 0 0
"341" "E" 2 2 0 1
"342" "G" 2 2 2 0
"343" "D" 3 2 0 0
"344" "F" 3 2 0 0
"345" "H" 3 2 2 0
"346" "D" 3 2 0 0
"347" "G" 5 2 0 0
"348" "A" 5 2 0 1
"349" "A" 5 2 0 0
"350" "A" 5 2 0 0
"351" "A" 1 1 0 0
"352" "A" 1 1 0 0
"353" "A" 1 1 0 0
"354" "A" 1 1 0 0
"355" "L" 1 1 0 0
"356" "A" 1 1 0 0
"357" "A" 1 1 0 0
"358" "E" 1 1 0 0
"359" "D" 2 1 0 0
"360" "A" 2 1 0 0
"361" "A" 2 1 0 0
"362" "A" 2 1 0 0
"363" "E" 2 1 0 0
"364" "A" 3 1 0 0
"365" "D" 4 1 0 0
"366" "A" 4 1 0 0
"367" "D" 4 1 0 0
"368" "D" 4 1 0 0
"369" "D" 4 1 0 0
"370" "D" 4 1 0 0
"371" "A" 4 1 0 0
"372" "D" 4 1 0 0
"373" "D" 4 1 0 0
"374" "E" 4 1 0 0
"375" "A" 5 1 0 0
"376" "A" 5 1 0 0
"377" "D" 5 1 0 0
"378" "A" 5 1 0 0
"379" "A" 5 2 0 0
"380" "D" 5 2 0 0
"381" "E" 5 2 1 0
"382" "A" 5 2 0 0
"383" "A" 0 1 0 0
"384" "A" 3 1 0 0
"385" "A" 5 3 0 0
"386" "D" 6 3 0 0
"387" "D" 1 0 0 0
"388" "A" 1 0 0 0
"389" "A" 1 0 0 0
"390" "D" 2 0 0 0
"391" "E" 4 0 0 0
"392" "A" 4 0 0 0
"393" "E" 5 0 0 0
"394" "A" 5 0 0 0
"395" "A" 5 1 0 0
"396" "E" 5 1 1 0
"397" "H" 5 1 2 0
"398" "A" 5 2 0 0
"399" "A" 5 2 0 0
"400" "A" 5 2 0 0
"401" "A" 7 2 0 0
"402" "A" 7 2 0 0
"403" "A" 7 2 0 0
"404" "A" 9 2 0 0
"405" "D" 10 4 0 0
"406" "D" 10 4 0 0
"407" "H" 11 4 0 0
"408" "A" 1 0 0 0
"409" "A" 3 0 0 0
"410" "D" 3 0 0 0
"411" "D" 4 2 0 0
"412" "D" 5 2 0 0
"413" "H" 6 2 2 0
"414" "A" 2 0 0 0
"415" "A" 2 0 0 0
"416" "A" 2 0 0 0
"417" "A" 2 0 0 0
"418" "A" 2 0 0 0
"419" "G" 7 2 2 0
"420" "A" 2 0 0 0
"421" "A" 2 0 0 0
"422" "A" 2 0 0 0
"423" "A" 2 0 0 0
"424" "A" 2 0 0 0
"425" "A" 2 0 0 0
"426" "A" 2 0 0 0
"427" "A" 2 0 0 0
"428" "A" 2 0 0 0
"429" "A" 2 0 0 0
"430" "A" 2 0 0 0
"431" "A" 2 0 0 0
"432" "A" 2 0 0 0
"433" "A" 2 0 0 0
"434" "A" 2 0 0 0
"435" "G" 2 0 2 0
"436" "A" 2 0 0 0
"437" "F" 1 0 0 0
"438" "A" 1 0 0 0
"439" "F" 1 0 0 0
"440" "C" 1 0 2 0
"441" "H" 2 0 2 0
"442" "A" 2 0 0 0
"443" "A" 2 0 1 0
"444" "A" 2 0 0 0
"445" "D" 3 0 0 0
"446" "A" 3 0 0 0
"447" "A" 3 0 0 0
"448" "A" 3 0 0 0
"449" "A" 3 0 0 0
"450" "D" 3 2 0 0
"451" "E" 3 2 0 0
"452" "D" 3 2 0 0
"453" "A" 3 1 0 0
"454" "D" 3 1 0 0
"455" "A" 4 2 0 0
"456" "D" 4 2 0 0
"457" "A" 5 2 0 0
"458" "A" 6 2 0 0
"459" "E" 10 4 0 0
"460" "A" 0 0 0 0
"461" "A" 2 0 0 0
"462" "E" 2 0 0 0
"463" "D" 2 0 0 0
"464" "A" 2 0 0 0
"465" "A" 2 0 0 0
"466" "A" 2 0 0 0
"467" "A" 2 0 0 0
"468" "A" 2 0 0 0
"469" "D" 2 0 0 0
"470" "D" 2 0 0 0
"471" "D" 2 0 0 0
"472" "A" 2 0 0 0
"473" "A" 2 0 0 0
"474" "A" 2 1 0 0
"475" "A" 3 2 0 0
"476" "A" 3 2 1 0
"477" "A" 3 2 0 0
"478" "A" 3 2 0 0
"479" "A" 3 2 0 0
"480" "A" 3 2 0 0
"481" "A" 3 2 0 0
"482" "A" 3 2 0 0
"483" "G" 3 2 1 0
"484" "E" 4 2 0 0
"485" "G" 5 2 2 0
"486" "A" 5 2 0 0
"487" "G" 5 2 2 0
"488" "A" 5 2 0 0
"489" "E" 5 2 0 0
"490" "A" 5 2 0 0
"491" "A" 5 2 0 0
"492" "A" 6 2 0 0
"493" "D" 6 2 0 0
"494" "H" 6 2 0 0
"495" "F" 7 3 0 0
"496" "A" 2 1 0 0
"497" "A" 2 1 1 0
"498" "E" 2 1 1 0
"499" "D" 2 1 0 0
"500" "D" 2 1 0 0
"501" "A" 2 1 0 0
"502" "D" 2 1 0 0
"503" "A" 2 1 0 0
"504" "A" 2 1 0 0
"505" "L" 1 0 0 0
"506" "A" 2 1 1 0
"507" "A" 2 1 0 0
"508" "A" 2 2 0 0
"509" "D" 1 2 0 0
"510" "E" 4 2 0 0
"511" "A" 4 2 1 0
"512" "C" 4 2 2 0
"513" "D" 5 2 0 0
"514" "E" 5 2 0 0
"515" "E" 2 2 0 0
"516" "A" 2 2 0 0
"517" "A" 2 2 0 0
"518" "E" 2 2 0 1
"519" "H" 3 2 2 0
"520" "E" 3 2 0 0
"521" "A" 3 2 0 0
"522" "C" 3 2 1 1
"523" "D" 1 0 0 0
"524" "C" 1 0 2 0
"525" "G" 1 1 2 0
"526" "D" 1 2 0 0
"527" "D" 5 2 1 0
"528" "E" 5 2 0 0
"529" "A" 5 2 0 0
"530" "A" 5 2 0 0
"531" "D" 5 2 0 0
"532" "D" 5 2 0 0
"533" "D" 5 2 0 0
"534" "A" 5 2 0 0
"535" "A" 6 2 0 0
"536" "D" 6 2 0 0
"537" "A" 6 2 0 0
"538" "A" 10 4 0 0
"539" "A" 0 1 0 0
"540" "A" 0 1 0 0
"541" "D" 0 1 0 0
"542" "A" 0 1 0 0
"543" "A" 0 1 0 0
"544" "E" 0 2 0 0
"545" "E" 1 2 0 0
"546" "A" 2 2 0 0
"547" "D" 2 2 0 0
"548" "A" 3 2 0 0
"549" "D" 4 2 0 0
"550" "E" 5 2 0 0
"551" "C" 5 2 2 0
"552" "A" 5 2 0 0
"553" "D" 5 2 0 0
"554" "E" 5 2 0 0
"555" "A" 5 2 0 0
"556" "D" 5 2 0 0
"557" "D" 5 2 0 0
"558" "A" 4 2 1 0
"559" "G" 4 2 2 0
"560" "A" 4 2 0 0
"561" "D" 5 2 0 0
"562" "D" 5 2 0 0
"563" "G" 5 3 2 0
"564" "C" 6 4 0 0
"565" "D" 10 4 0 0
"566" "E" 4 2 0 1
"567" "A" 0 1 0 0
"568" "G" 2 1 2 0
"569" "A" 0 0 0 0
"570" "A" 0 0 0 0
"571" "A" 3 1 0 1
"572" "A" 3 1 0 0
"573" "A" 3 1 0 0
"574" "A" 3 1 0 0
"575" "D" 3 1 0 0
"576" "E" 3 1 0 0
"577" "D" 3 1 0 0
"578" "G" 4 1 2 0
"579" "A" 4 1 0 0
"580" "D" 4 1 0 0
"581" "G" 5 1 2 0
"582" "A" 5 1 0 0
"583" "D" 5 1 0 0
"584" "E" 5 2 0 0
"585" "F" 5 2 1 0
"586" "C" 5 2 2 0
"587" "A" 5 2 0 1
"588" "A" 5 2 0 0
"589" "D" 5 2 0 0
"590" "A" 5 2 1 0
"591" "G" 5 2 0 0
"592" "F" 5 2 1 0
"593" "A" 6 3 0 0
"594" "D" 6 3 0 0
"595" "D" 7 3 1 0
"596" "D" 7 3 0 0
"597" "D" 7 3 0 0
"598" "A" 8 3 0 0
"599" "A" 8 3 0 0
"600" "E" 2 0 0 0
"601" "A" 2 0 0 0
"602" "A" 3 0 0 0
"603" "G" 4 0 2 0
"604" "A" 4 0 0 0
"605" "G" 5 0 0 0
"606" "A" 5 1 0 0
"607" "E" 5 2 0 0
"608" "A" 5 2 0 0
"609" "A" 6 2 0 0
"610" "E" 7 2 1 0
"611" "A" 8 2 0 0
"612" "E" 1 0 0 0
"613" "A" 4 0 0 0
"614" "D" 4 0 0 0
"615" "D" 4 0 1 0
"616" "G" 4 0 2 0
"617" "D" 4 0 0 0
"618" "D" 4 1 0 0
"619" "C" 0 0 2 0
"620" "D" 0 0 0 0
"621" "D" 1 0 0 0
"622" "C" 1 0 0 0
"623" "A" 1 0 0 0
"624" "E" 3 0 0 0
"625" "A" 3 0 0 0
"626" "D" 3 0 0 0
"627" "D" 3 0 0 0
"628" "H" 3 1 2 0
"629" "E" 3 1 0 0
"630" "D" 3 2 0 0
"631" "E" 4 2 0 0
"632" "D" 3 1 0 0
"633" "D" 6 2 0 0
"634" "E" 2 0 0 0
"635" "D" 2 0 0 0
"636" "A" 1 0 0 0
"637" "A" 2 0 0 0
"638" "D" 2 0 0 0
"639" "A" 2 0 0 0
"640" "A" 2 0 0 0
"641" "A" 2 0 0 0
"642" "G" 2 0 2 0
"643" "D" 2 0 0 0
"644" "D" 2 0 0 0
"645" "D" 2 0 0 0
"646" "E" 2 0 0 0
"647" "H" 2 1 0 0
"648" "D" 2 0 0 0
"649" "A" 2 0 0 0
"650" "A" 2 1 0 0
"651" "D" 2 2 0 0
"652" "A" 2 2 0 0
"653" "A" 2 2 0 0
"654" "A" 2 2 0 0
"655" "A" 3 2 0 0
"656" "A" 3 2 0 0
"657" "A" 5 2 0 0
"658" "A" 5 2 0 0
"659" "A" 5 2 0 0
"660" "H" 6 2 2 0
"661" "D" 6 2 0 0
"662" "A" 7 2 0 0
"663" "E" 7 3 0 0
"664" "A" 7 3 0 0
"665" "A" 10 4 0 0
"666" "D" 0 0 1 0
"667" "A" 1 2 0 0
"668" "A" 1 0 0 0
"669" "A" 1 0 0 0
"670" "A" 1 0 0 0
"671" "A" 1 0 0 0
"672" "D" 1 1 0 0
"673" "A" 1 1 0 0
"674" "A" 1 1 0 0
"675" "A" 1 1 0 0
"676" "A" 1 1 0 0
"677" "A" 1 2 0 0
"678" "A" 2 2 0 0
"679" "A" 3 2 0 0
"680" "D" 3 2 1 0
"681" "A" 3 2 0 0
"682" "A" 3 2 0 0
"683" "C" 3 2 2 0
"684" "G" 3 2 2 0
"685" "A" 4 2 0 0
"686" "A" 4 2 0 0
"687" "A" 5 2 0 0
"688" "E" 5 2 0 0
"689" "A" 5 2 0 0
"690" "A" 5 2 0 0
"691" "A" 5 2 0 0
"692" "A" 5 2 0 0
"693" "D" 5 2 0 0
"694" "A" 5 2 0 0
"695" "A" 6 2 0 0
"696" "E" 6 2 0 0
"697" "A" 6 2 0 0
"698" "A" 6 3 0 0
"699" "A" 6 3 0 0
"700" "D" 6 3 0 0
"701" "A" 6 4 0 0
"702" "D" 8 4 0 0
"703" "A" 10 4 0 0
"704" "A" 5 2 0 0
"705" "A" 5 2 1 0
"706" "G" 5 2 0 0
"707" "E" 5 2 0 0
"708" "D" 2 2 0 0
"709" "A" 3 2 0 0
"710" "A" 1 2 0 0
"711" "A" 1 2 0 0
"712" "A" 4 2 1 0
"713" "E" 4 2 0 0
"714" "E" 3 2 0 0
"715" "A" 4 2 1 0
"716" "E" 4 2 0 0
"717" "C" 5 2 2 0
"718" "A" 0 2 0 0
"719" "E" 5 2 0 0
"720" "A" 5 3 0 0
"721" "A" 5 3 0 0
"722" "A" 5 2 0 0
"723" "A" 0 0 0 0
"724" "H" 1 1 2 0
"725" "E" 1 1 0 0
"726" "G" 1 1 2 0
"727" "A" 1 1 0 0
"728" "D" 1 1 0 0
"729" "E" 2 1 0 0
"730" "A" 2 1 0 0
"731" "A" 2 1 0 0
"732" "A" 2 1 0 0
"733" "A" 3 1 0 0
"734" "F" 3 1 0 0
"735" "A" 3 1 0 0
"736" "A" 3 1 0 0
"737" "A" 3 1 0 0
"738" "A" 3 1 0 0
"739" "D" 3 1 1 0
"740" "A" 3 1 0 0
"741" "A" 3 1 0 0
"742" "F" 3 1 0 0
"743" "A" 3 1 0 0
"744" "A" 3 1 1 0
"745" "E" 3 1 0 0
"746" "D" 3 1 0 0
"747" "D" 4 1 0 0
"748" "G" 4 1 0 0
"749" "A" 4 1 0 0
"750" "A" 4 1 0 0
"751" "A" 4 1 0 0
"752" "A" 5 1 0 0
"753" "A" 5 1 0 0
"754" "A" 5 1 0 0
"755" "E" 5 2 0 0
"756" "G" 5 2 0 0
"757" "A" 5 2 0 0
"758" "E" 5 2 0 0
"759" "A" 5 2 0 0
"760" "D" 5 2 0 0
"761" "D" 1 0 1 0
"762" "D" 1 0 1 0
"763" "D" 2 0 0 0
"764" "G" 3 0 2 0
"765" "D" 3 0 0 0
"766" "A" 4 0 0 0
"767" "A" 4 0 0 0
"768" "F" 4 0 0 0
"769" "D" 5 0 0 0
"770" "D" 5 0 0 0
"771" "D" 5 0 0 0
"772" "A" 5 1 0 0
"773" "D" 6 2 0 0
"774" "A" 8 2 0 0
"775" "D" 0 0 0 0
"776" "A" 4 0 0 0
"777" "A" 4 0 0 0
"778" "D" 4 1 0 0
"779" "A" 4 1 0 0
"780" "A" 4 1 0 0
"781" "H" 4 1 0 0
"782" "A" 4 1 0 0
"783" "H" 1 0 2 0
"784" "A" 4 1 0 0
"785" "A" 4 1 0 0
"786" "A" 4 1 0 0
"787" "A" 4 1 0 0
"788" "D" 4 1 0 0
"789" "A" 5 2 0 0
"790" "F" 5 2 0 0
"791" "D" 5 2 0 0
"792" "A" 4 2 0 0
"793" "A" 5 2 0 0
"794" "A" 6 2 0 0
"795" "D" 1 0 0 0
"796" "A" 1 0 0 0
"797" "A" 1 0 0 0
"798" "A" 1 0 0 0
"799" "A" 2 0 0 0
"800" "G" 3 0 1 0
"801" "A" 3 0 0 0
"802" "D" 3 0 0 0
"803" "A" 3 0 0 0
"804" "C" 3 0 2 0
"805" "A" 3 1 1 0
"806" "A" 3 0 0 0
"807" "D" 3 0 0 0
"808" "E" 3 1 0 0
"809" "A" 3 1 0 0
"810" "A" 3 2 0 0
"811" "E" 7 2 0 0
"812" "D" 7 2 0 0
"813" "D" 7 2 0 0
"814" "D" 5 2 0 0
"815" "A" 0 0 0 0
"816" "E" 0 0 0 0
"817" "F" 1 0 2 0
"818" "A" 1 0 0 0
"819" "D" 1 0 0 0
"820" "D" 1 0 0 0
"821" "A" 2 0 0 0
"822" "A" 2 0 0 0
"823" "D" 2 0 0 0
"824" "A" 2 0 0 0
"825" "A" 2 0 0 0
"826" "D" 2 0 0 0
"827" "A" 2 0 0 0
"828" "E" 2 0 0 0
"829" "H" 2 0 2 0
"830" "A" 2 0 0 0
"831" "A" 2 1 0 0
"832" "A" 2 1 0 0
"833" "A" 2 1 0 0
"834" "A" 2 1 0 0
"835" "D" 2 1 0 0
"836" "A" 2 1 0 0
"837" "A" 2 2 0 0
"838" "G" 2 2 2 0
"839" "A" 2 2 0 0
"840" "D" 3 2 0 0
"841" "E" 4 2 0 0
"842" "E" 7 3 0 0
"843" "A" 1 1 0 0
"844" "A" 1 2 0 0
"845" "A" 1 2 0 0
"846" "D" 1 0 0 0
"847" "F" 1 0 0 0
"848" "A" 1 0 0 0
"849" "F" 1 0 0 0
"850" "G" 1 0 0 0
"851" "G" 1 0 2 0
"852" "D" 1 0 0 0
"853" "D" 1 0 0 0
"854" "C" 3 2 2 0
"855" "A" 5 2 0 0
"856" "A" 4 2 0 0
"857" "C" 5 2 2 0
"858" "G" 5 2 2 0
"859" "A" 5 2 0 0
"860" "D" 5 2 0 0
"861" "A" 5 2 0 0
"862" "A" 5 2 1 0
"863" "E" 5 2 0 0
"864" "A" 6 2 0 0
"865" "D" 6 2 0 0
"866" "E" 6 3 0 0
"867" "C" 6 4 2 0
"868" "D" 6 4 1 0
"869" "C" 10 4 2 0
"870" "A" 10 4 0 0
"871" "A" 0 1 0 0
"872" "A" 0 2 0 0
"873" "E" 3 2 0 0
"874" "E" 3 2 0 0
"875" "E" 5 2 0 0
"876" "A" 4 2 1 0
"877" "D" 4 2 0 0
"878" "A" 5 2 0 0
"879" "C" 5 2 0 0
"880" "D" 5 4 0 0
"881" "A" 5 2 0 0
"882" "D" 10 4 0 0
"883" "C" 0 0 2 0
"884" "C" 0 1 0 0
"885" "D" 1 1 0 0
"886" "D" 3 1 0 0
"887" "D" 4 1 0 0
"888" "C" 4 1 2 0
"889" "D" 5 2 0 0
"890" "A" 5 2 0 1
"891" "E" 5 2 0 0
"892" "A" 5 2 0 0
"893" "A" 5 2 0 0
"894" "A" 0 0 0 0
"895" "D" 0 0 0 0
"896" "A" 1 0 0 0
"897" "F" 3 0 0 0
"898" "A" 3 0 0 0
"899" "C" 4 0 0 1
"900" "C" 4 0 0 0
"901" "D" 4 0 0 0
"902" "D" 5 0 0 0
"903" "D" 5 1 0 0
"904" "A" 5 2 0 0
"905" "A" 5 2 0 0
"906" "A" 5 2 0 0
"907" "D" 8 2 0 0
"908" "D" 0 0 0 0
"909" "D" 0 0 0 0
"910" "D" 1 0 0 0
"911" "A" 1 0 0 0
"912" "L" 1 0 0 0
"913" "A" 3 0 0 0
"914" "D" 4 0 0 0
"915" "A" 4 0 0 0
"916" "A" 4 0 0 0
"917" "E" 4 1 0 0
"918" "D" 4 1 0 0
"919" "A" 4 0 0 0
"920" "A" 5 2 0 1
"921" "A" 6 2 0 0
"922" "A" 1 0 0 0
"923" "A" 1 0 0 0
"924" "A" 3 0 0 0
"925" "E" 3 0 0 0
"926" "G" 3 0 2 0
"927" "E" 3 1 0 0
